campaign_id,campaign_name,channel,spend,incremental_roas,ci95_low,recommended_budget,budget_change,expected_incremental_revenue
CMP011,Email Wave 3,email,15746.3137,1.0657032324476041,0.020910629111099942,31492.6274,15746.3137,33561.79481844799
CMP003,Email Wave 1,email,15534.3695,1.1728645506284812,0.02577514305330976,31068.739,15534.3695,36439.42260582857
CMP007,Email Wave 2,email,14952.453899999999,0.9092971894002719,0.013267753152693938,29904.907799999997,14952.453899999999,27192.448611814267
CMP002,Paid Social Wave 1,paid_social,16411.4517,0.6274786705884384,0.008486280619553603,27971.109792926993,11559.658092926991,17551.27478774908
CMP009,Paid Search Wave 3,paid_search,27171.828,0.49026293178772007,0.0143099340453211,25441.744974146262,-1730.083025853739,12473.14448082044
CMP005,Paid Search Wave 2,paid_search,18149.5177,0.5359789338090565,0.005944797456031471,24925.128216789093,6775.610516789093,13359.343646688647
CMP001,Paid Search Wave 1,paid_search,23062.1003,0.36016734038694387,0.00534770904344193,19465.692741350416,-3596.407558649582,7010.906783441618
CMP012,Display Wave 3,display,26333.451100000002,0.30786177392643704,0.005572016868753112,18293.91353265873,-8039.537567341271,5631.996672221169
CMP004,Display Wave 1,display,19824.1598,0.3503683795557321,0.0012145186874016733,18283.471414896467,-1540.6883851035345,6405.950252290823
CMP010,Paid Social Wave 3,paid_social,27680.3639,0.2858502189907698,0.003350388394587898,17793.358727232022,-9887.005172767978,5086.235488760598
CMP008,Display Wave 2,display,30637.081599999998,0.07625800847051416,-0.008062102445742386,7659.270399999999,-22977.811199999996,584.0807070411583
CMP006,Paid Social Wave 2,paid_social,22395.8304,0.12779382076113047,-0.007261379661568002,5598.9576,-16796.872799999997,715.5121839835692
