customer_id,segment,region,is_mobile_first,prior_90d_orders
C000001,occasional,east,0,0
C000002,growth,south,1,1
C000003,new,north,1,1
C000004,occasional,north,1,0
C000005,high_value,east,1,4
C000006,new,east,0,0
C000007,occasional,east,1,2
C000008,occasional,north,1,1
C000009,high_value,east,0,2
C000010,occasional,north,1,3
C000011,growth,north,1,3
C000012,new,south,0,0
C000013,occasional,east,0,2
C000014,new,east,1,0
C000015,growth,west,0,2
C000016,growth,west,0,1
C000017,occasional,south,0,0
C000018,high_value,west,1,5
C000019,new,north,0,1
C000020,occasional,west,0,0
C000021,occasional,south,1,4
C000022,growth,west,0,6
C000023,new,west,0,0
C000024,new,east,1,1
C000025,occasional,west,0,0
C000026,growth,north,1,4
C000027,occasional,north,0,1
C000028,high_value,east,0,7
C000029,growth,east,1,0
C000030,occasional,north,1,0
C000031,occasional,east,1,1
C000032,new,north,0,0
C000033,growth,west,1,2
C000034,growth,north,0,2
C000035,occasional,south,1,0
C000036,growth,west,1,3
C000037,high_value,east,0,8
C000038,occasional,east,1,1
C000039,growth,east,1,2
C000040,occasional,west,1,1
C000041,growth,south,1,3
C000042,new,west,1,0
C000043,occasional,east,1,0
C000044,growth,west,1,3
C000045,new,east,1,0
C000046,new,north,1,0
C000047,growth,east,1,4
C000048,growth,west,1,1
C000049,occasional,north,0,1
C000050,high_value,west,1,4
C000051,growth,north,1,2
C000052,high_value,west,1,4
C000053,occasional,west,0,0
C000054,occasional,north,0,2
C000055,occasional,east,0,1
C000056,occasional,north,0,2
C000057,occasional,east,0,2
C000058,occasional,west,0,0
C000059,high_value,north,1,3
C000060,high_value,north,0,4
C000061,occasional,south,0,1
C000062,occasional,south,0,1
C000063,occasional,north,1,1
C000064,occasional,south,0,1
C000065,occasional,south,1,1
C000066,occasional,north,1,0
C000067,occasional,south,1,1
C000068,growth,north,1,5
C000069,high_value,west,0,2
C000070,growth,west,1,1
C000071,growth,south,1,2
C000072,growth,west,1,3
C000073,new,south,0,0
C000074,growth,west,0,1
C000075,high_value,north,0,7
C000076,growth,south,1,3
C000077,growth,east,0,2
C000078,occasional,north,0,1
C000079,occasional,west,1,0
C000080,occasional,south,1,1
C000081,occasional,south,1,2
C000082,growth,south,1,2
C000083,new,west,1,0
C000084,growth,north,1,2
C000085,high_value,west,1,3
C000086,high_value,west,1,7
C000087,occasional,west,1,4
C000088,occasional,west,0,1
C000089,growth,west,1,3
C000090,occasional,east,1,0
C000091,growth,south,0,0
C000092,occasional,south,1,1
C000093,growth,west,1,1
C000094,growth,south,1,3
C000095,growth,east,1,1
C000096,occasional,north,1,0
C000097,growth,south,1,1
C000098,high_value,south,1,3
C000099,high_value,south,1,8
C000100,new,east,0,1
C000101,new,east,1,0
C000102,occasional,south,1,0
C000103,growth,north,1,3
C000104,new,east,0,0
C000105,occasional,north,0,0
C000106,occasional,west,0,1
C000107,growth,west,1,2
C000108,growth,north,1,1
C000109,high_value,south,0,4
C000110,new,north,1,0
C000111,occasional,south,0,1
C000112,growth,north,1,3
C000113,growth,west,1,3
C000114,occasional,north,1,1
C000115,growth,east,1,0
C000116,new,east,0,0
C000117,occasional,north,1,0
C000118,occasional,west,1,2
C000119,growth,north,0,0
C000120,occasional,west,0,1
C000121,occasional,east,1,0
C000122,occasional,east,0,0
C000123,high_value,west,0,4
C000124,growth,south,1,2
C000125,high_value,south,0,6
C000126,occasional,north,0,0
C000127,growth,west,1,3
C000128,high_value,south,0,5
C000129,high_value,west,1,2
C000130,occasional,south,0,0
C000131,growth,west,1,3
C000132,new,west,0,0
C000133,occasional,south,1,4
C000134,growth,south,1,1
C000135,occasional,west,1,1
C000136,high_value,north,0,5
C000137,new,north,1,0
C000138,occasional,south,0,1
C000139,occasional,east,1,0
C000140,high_value,north,1,5
C000141,occasional,south,1,1
C000142,occasional,west,0,1
C000143,new,north,1,1
C000144,occasional,north,0,0
C000145,occasional,south,1,2
C000146,growth,north,0,2
C000147,growth,north,1,1
C000148,occasional,north,1,1
C000149,growth,north,1,2
C000150,high_value,west,1,6
C000151,new,north,1,0
C000152,new,east,1,0
C000153,high_value,east,1,2
C000154,occasional,east,0,1
C000155,high_value,east,1,1
C000156,occasional,south,0,1
C000157,growth,west,1,2
C000158,occasional,north,1,3
C000159,occasional,north,1,1
C000160,occasional,west,1,0
C000161,high_value,north,1,7
C000162,new,north,0,1
C000163,growth,north,0,3
C000164,high_value,north,1,4
C000165,occasional,north,1,2
C000166,growth,east,1,3
C000167,new,east,0,0
C000168,new,north,1,0
C000169,growth,west,1,1
C000170,new,north,1,1
C000171,growth,east,1,1
C000172,occasional,west,0,0
C000173,growth,east,1,4
C000174,new,south,1,0
C000175,growth,north,0,1
C000176,high_value,north,0,2
C000177,growth,west,1,1
C000178,new,south,1,0
C000179,new,north,0,1
C000180,occasional,east,1,1
C000181,new,east,1,1
C000182,new,north,1,0
C000183,occasional,north,1,1
C000184,growth,north,0,3
C000185,occasional,north,0,0
C000186,occasional,east,0,0
C000187,growth,north,0,4
C000188,high_value,east,1,5
C000189,occasional,north,0,2
C000190,growth,west,0,1
C000191,new,east,1,0
C000192,growth,south,1,2
C000193,high_value,south,1,3
C000194,new,north,1,0
C000195,growth,north,1,4
C000196,growth,east,1,2
C000197,occasional,north,1,2
C000198,new,east,1,0
C000199,growth,south,1,0
C000200,growth,north,1,4
C000201,occasional,east,1,2
C000202,new,east,0,0
C000203,occasional,east,1,0
C000204,high_value,north,1,9
C000205,high_value,east,1,2
C000206,growth,west,0,6
C000207,high_value,south,0,1
C000208,occasional,west,1,0
C000209,high_value,east,1,6
C000210,occasional,south,0,1
C000211,occasional,west,0,0
C000212,occasional,west,1,0
C000213,growth,north,1,1
C000214,new,west,1,1
C000215,occasional,north,1,0
C000216,occasional,north,0,0
C000217,high_value,north,0,3
C000218,high_value,south,0,3
C000219,new,west,0,0
C000220,growth,east,1,3
C000221,growth,east,0,2
C000222,occasional,north,1,1
C000223,occasional,east,1,0
C000224,new,south,0,0
C000225,growth,south,1,2
C000226,new,south,0,0
C000227,high_value,north,0,2
C000228,occasional,west,0,2
C000229,occasional,east,0,0
C000230,high_value,south,1,5
C000231,high_value,north,1,7
C000232,growth,west,0,5
C000233,new,south,1,0
C000234,occasional,south,0,0
C000235,new,east,1,0
C000236,new,north,1,0
C000237,occasional,east,1,0
C000238,occasional,west,0,1
C000239,high_value,south,0,7
C000240,high_value,north,0,2
C000241,new,north,1,1
C000242,occasional,north,1,3
C000243,growth,east,1,2
C000244,occasional,south,1,2
C000245,occasional,north,1,0
C000246,new,east,1,1
C000247,occasional,north,1,1
C000248,growth,south,1,1
C000249,growth,west,0,1
C000250,growth,north,0,4
C000251,occasional,north,1,1
C000252,new,south,1,0
C000253,occasional,east,0,1
C000254,growth,north,0,2
C000255,growth,west,0,1
C000256,occasional,north,1,4
C000257,new,west,1,0
C000258,high_value,east,0,6
C000259,high_value,north,1,3
C000260,occasional,north,1,1
C000261,high_value,north,0,4
C000262,new,south,1,1
C000263,growth,south,0,2
C000264,high_value,east,0,9
C000265,new,south,1,0
C000266,growth,east,0,5
C000267,growth,south,1,4
C000268,growth,south,0,0
C000269,high_value,south,0,5
C000270,high_value,south,0,5
C000271,high_value,west,1,3
C000272,growth,north,0,3
C000273,high_value,south,0,1
C000274,occasional,west,0,1
C000275,occasional,east,1,2
C000276,growth,north,1,1
C000277,growth,west,0,2
C000278,occasional,north,1,2
C000279,new,north,1,0
C000280,new,south,0,0
C000281,high_value,east,0,3
C000282,growth,north,0,4
C000283,growth,west,1,3
C000284,growth,north,1,1
C000285,occasional,west,1,1
C000286,growth,north,1,6
C000287,high_value,south,0,2
C000288,growth,east,1,2
C000289,occasional,south,1,0
C000290,high_value,east,1,5
C000291,new,east,1,0
C000292,high_value,east,0,6
C000293,new,south,0,1
C000294,high_value,west,1,5
C000295,new,east,1,0
C000296,new,south,1,0
C000297,new,east,1,2
C000298,new,west,0,0
C000299,occasional,west,0,1
C000300,occasional,east,1,0
C000301,occasional,west,0,1
C000302,high_value,west,1,5
C000303,occasional,south,1,1
C000304,occasional,east,1,3
C000305,new,north,1,0
C000306,occasional,south,1,1
C000307,growth,west,0,4
C000308,occasional,south,0,1
C000309,growth,west,1,2
C000310,high_value,south,0,9
C000311,occasional,north,1,1
C000312,growth,north,1,4
C000313,growth,east,1,1
C000314,growth,south,1,2
C000315,growth,east,1,3
C000316,growth,north,0,1
C000317,growth,south,0,1
C000318,occasional,north,1,0
C000319,growth,south,0,3
C000320,new,west,1,0
C000321,new,north,0,0
C000322,occasional,east,1,0
C000323,growth,north,1,3
C000324,occasional,east,0,2
C000325,new,west,1,1
C000326,occasional,south,1,0
C000327,new,north,1,1
C000328,occasional,east,1,1
C000329,occasional,south,1,1
C000330,growth,west,1,4
C000331,occasional,west,0,1
C000332,growth,east,1,0
C000333,occasional,east,1,1
C000334,new,east,0,0
C000335,high_value,east,0,6
C000336,occasional,south,0,1
C000337,high_value,west,1,1
C000338,occasional,south,1,0
C000339,high_value,north,1,5
C000340,new,east,1,0
C000341,high_value,east,1,6
C000342,new,west,1,0
C000343,new,south,0,1
