exposure_id,campaign_id,customer_id,assignment,impressions,clicks,converted,order_value,media_cost
CMP001-E000001,CMP001,C000001,treatment,3,0,0,0.0,1.1627
CMP001-E000002,CMP001,C000002,treatment,6,0,0,0.0,2.3254
CMP001-E000003,CMP001,C000003,control,0,0,0,0.0,0.0
CMP001-E000004,CMP001,C000004,treatment,5,0,0,0.0,1.9378
CMP001-E000005,CMP001,C000005,treatment,1,0,0,0.0,0.3876
CMP001-E000006,CMP001,C000006,control,0,0,0,0.0,0.0
CMP001-E000007,CMP001,C000007,treatment,4,0,0,0.0,1.5502
CMP001-E000008,CMP001,C000008,treatment,5,0,0,0.0,1.9378
CMP001-E000009,CMP001,C000009,treatment,6,0,0,0.0,2.3254
CMP001-E000010,CMP001,C000010,treatment,7,1,0,0.0,16.9614
CMP001-E000011,CMP001,C000011,treatment,8,0,0,0.0,3.1005
CMP001-E000012,CMP001,C000012,treatment,4,0,0,0.0,1.5502
CMP001-E000013,CMP001,C000013,treatment,2,1,0,0.0,15.0236
CMP001-E000014,CMP001,C000014,treatment,2,0,0,0.0,0.7751
CMP001-E000015,CMP001,C000015,treatment,2,0,0,0.0,0.7751
CMP001-E000016,CMP001,C000016,treatment,3,1,1,52.79,15.4112
CMP001-E000017,CMP001,C000017,treatment,6,0,1,15.04,2.3254
CMP001-E000018,CMP001,C000018,treatment,3,0,0,0.0,1.1627
CMP001-E000019,CMP001,C000019,treatment,1,0,0,0.0,0.3876
CMP001-E000020,CMP001,C000020,treatment,2,0,0,0.0,0.7751
CMP001-E000021,CMP001,C000021,treatment,4,1,0,0.0,15.7987
CMP001-E000022,CMP001,C000022,treatment,1,0,0,0.0,0.3876
CMP001-E000023,CMP001,C000023,treatment,5,0,0,0.0,1.9378
CMP001-E000024,CMP001,C000024,control,0,0,0,0.0,0.0
CMP001-E000025,CMP001,C000025,treatment,4,0,0,0.0,1.5502
CMP001-E000026,CMP001,C000026,treatment,1,0,0,0.0,0.3876
CMP001-E000027,CMP001,C000027,treatment,2,0,0,0.0,0.7751
CMP001-E000028,CMP001,C000028,treatment,5,1,1,100.09,16.1863
CMP001-E000029,CMP001,C000029,treatment,2,0,0,0.0,0.7751
CMP001-E000030,CMP001,C000030,treatment,7,0,0,0.0,2.7129
CMP001-E000031,CMP001,C000031,treatment,2,0,0,0.0,0.7751
CMP001-E000032,CMP001,C000032,treatment,2,1,0,0.0,15.0236
CMP001-E000033,CMP001,C000033,treatment,1,0,0,0.0,0.3876
CMP001-E000034,CMP001,C000034,control,0,0,0,0.0,0.0
CMP001-E000035,CMP001,C000035,treatment,3,0,0,0.0,1.1627
CMP001-E000036,CMP001,C000036,treatment,3,0,0,0.0,1.1627
CMP001-E000037,CMP001,C000037,treatment,6,1,0,0.0,16.5738
CMP001-E000038,CMP001,C000038,treatment,4,0,0,0.0,1.5502
CMP001-E000039,CMP001,C000039,treatment,3,0,0,0.0,1.1627
CMP001-E000040,CMP001,C000040,treatment,4,0,0,0.0,1.5502
CMP001-E000041,CMP001,C000041,treatment,4,0,0,0.0,1.5502
CMP001-E000042,CMP001,C000042,treatment,2,0,0,0.0,0.7751
CMP001-E000043,CMP001,C000043,control,0,0,0,0.0,0.0
CMP001-E000044,CMP001,C000044,treatment,3,0,0,0.0,1.1627
CMP001-E000045,CMP001,C000045,treatment,2,0,0,0.0,0.7751
CMP001-E000046,CMP001,C000046,treatment,3,0,0,0.0,1.1627
CMP001-E000047,CMP001,C000047,treatment,2,0,0,0.0,0.7751
CMP001-E000048,CMP001,C000048,treatment,2,1,0,0.0,15.0236
CMP001-E000049,CMP001,C000049,treatment,1,0,0,0.0,0.3876
CMP001-E000050,CMP001,C000050,control,0,0,0,0.0,0.0
CMP001-E000051,CMP001,C000051,treatment,3,0,1,74.54,1.1627
CMP001-E000052,CMP001,C000052,treatment,2,0,0,0.0,0.7751
CMP001-E000053,CMP001,C000053,control,0,0,0,0.0,0.0
CMP001-E000054,CMP001,C000054,treatment,2,0,0,0.0,0.7751
CMP001-E000055,CMP001,C000055,treatment,3,0,0,0.0,1.1627
CMP001-E000056,CMP001,C000056,treatment,2,0,0,0.0,0.7751
CMP001-E000057,CMP001,C000057,control,0,0,0,0.0,0.0
CMP001-E000058,CMP001,C000058,treatment,4,0,0,0.0,1.5502
CMP001-E000059,CMP001,C000059,treatment,1,0,0,0.0,0.3876
CMP001-E000060,CMP001,C000060,treatment,2,0,0,0.0,0.7751
CMP001-E000061,CMP001,C000061,treatment,4,0,0,0.0,1.5502
CMP001-E000062,CMP001,C000062,control,0,0,0,0.0,0.0
CMP001-E000063,CMP001,C000063,treatment,3,0,0,0.0,1.1627
CMP001-E000064,CMP001,C000064,treatment,7,0,0,0.0,2.7129
CMP001-E000065,CMP001,C000065,treatment,1,0,0,0.0,0.3876
CMP001-E000066,CMP001,C000066,treatment,2,0,0,0.0,0.7751
CMP001-E000067,CMP001,C000067,control,0,0,0,0.0,0.0
CMP001-E000068,CMP001,C000068,treatment,1,0,0,0.0,0.3876
CMP001-E000069,CMP001,C000069,treatment,1,0,1,80.44,0.3876
CMP001-E000070,CMP001,C000070,treatment,3,1,0,0.0,15.4112
CMP001-E000071,CMP001,C000071,control,0,0,1,106.43,0.0
CMP001-E000072,CMP001,C000072,treatment,2,0,0,0.0,0.7751
CMP001-E000073,CMP001,C000073,treatment,2,0,0,0.0,0.7751
